15,10,9
15,10,9
15,12,9
15,12,10
15,12,10
15,12,10
15,12,10
12,10,9
15,12,10
15,12,10
15,12,10
15,12,10
39,38,34
15,12,10
15,12,10
15,12,10
15,12,10
15,12,10
15,12,10
15,12,10
15,12,10
38,32,29
40,39,38
51,50,12
39,32,29
39,32,29
39,32,29
39,32,29
39,32,29
39,32,29
39,32,29
39,32,29
40,39,38
51,46,43
25,22,21
26,22,21
24,23,22
39,38,18
39,38,18
39,38,27
15,12,10
15,12,10
15,12,10
23,22,19
23,19,18
23,19,18
23,19,18
15,12,10
15,12,10
15,12,10
12,10,9
15,12,10
15,12,10
12,10,9
51,50,47
15,12,10
5,1,0
27,26,23
19,18,17
39,32,12
24,23,19
24,23,19
20,19,18
40,39,38
40,39,38
33,32,29
38,34,30
50,46,39
45,40,39
33,32,31
39,38,32
50,46,42
45,5,4
49,40,39
49,39,32
49,45,41
46,5,4
12,10,9
23,18,17
28,27,26
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
20,19,18
28,27,26
50,27,3
24,23,22
21,18,17
22,21,20
16,15,11
31,30,29
21,13,12
